snapshot_date,underlying,option_code,option_type,strike,volume,turnover,open_interest,implied_volatility,premium
2026-05-29,US.DELL,US.DELL260605P350000,PUT,350.0,2499,413604.0,6,0.85741,103.5
2026-05-29,US.DJT,US.DJT260618P5000,PUT,5.0,8537,42574.0,36095,1.3676,2.0
2026-05-29,US.DJT,US.DJT260618C10000,CALL,10.0,5519,195275.0,6461,0.83315,45.5
2026-05-29,US.DJT,US.DJT260605C10000,CALL,10.0,3832,84195.0,584,0.83478,17.5
2026-05-29,US.DJT,US.DJT260918C25000,CALL,25.0,3450,96401.0,36009,1.17851,28.0
2026-05-29,US.DJT,US.DJT261218C25000,CALL,25.0,2375,140059.0,10824,1.00816,50.5
2026-05-29,US.DJT,US.DJT260605C11000,CALL,11.0,2092,19027.0,2051,1.03094,8.0
2026-05-29,US.DJT,US.DJT280121P10000,PUT,10.0,2003,791164.0,1802,0.84675,402.5
2026-05-29,US.DJT,US.DJT260605C15000,CALL,15.0,1804,5161.0,119,1.717,2.0
2026-05-29,US.DJT,US.DJT260918C10000,CALL,10.0,1528,219104.0,3915,0.82364,145.5
2026-05-29,US.DJT,US.DJT260605C9500,CALL,9.5,1158,43318.0,912,0.80036,32.0
2026-05-29,US.DUOL,US.DUOL260605C120000,CALL,120.0,1177,219426.0,187,0.57101,80.0
2026-05-29,US.DUOL,US.DUOL260605C121000,CALL,121.0,282,37594.0,418,0.63035,87.5
2026-05-29,US.DUOL,US.DUOL260918C175000,CALL,175.0,246,95940.0,55,0.74159,405.0
2026-05-29,US.DUOL,US.DUOL260605C115000,CALL,115.0,219,67872.0,217,0.64885,242.5
2026-05-29,US.DUOL,US.DUOL260612C135000,CALL,135.0,172,10364.0,13,0.72975,70.0
2026-05-29,US.DUOL,US.DUOL260618C160000,CALL,160.0,158,1586.0,497,0.69005,9.0
2026-05-29,US.DUOL,US.DUOL260605C105000,CALL,105.0,157,140975.0,6,0.68474,800.0
2026-05-29,US.DUOL,US.DUOL260618C150000,CALL,150.0,148,3523.0,1189,0.69649,27.5
2026-05-29,US.DUOL,US.DUOL260605P100000,PUT,100.0,138,7576.0,148,0.73283,72.5
2026-05-29,US.DUOL,US.DUOL260605C111000,CALL,111.0,109,26750.0,7,0.66472,420.0
2026-05-29,US.EWT,US.EWT260717C110000,CALL,110.0,4436,1997259.0,1426,0.43536,390.0
2026-05-29,US.EWT,US.EWT260717C120000,CALL,120.0,3908,818622.0,2238,0.44472,172.5
2026-05-29,US.EWT,US.EWT260618C115000,CALL,115.0,1590,160154.0,3010,0.48811,107.5
2026-05-29,US.EWT,US.EWT260618C120000,CALL,120.0,1000,47720.0,2001,0.53019,70.0
2026-05-29,US.EWT,US.EWT260618P100000,PUT,100.0,427,121047.0,72,0.44155,282.5
2026-05-29,US.EWT,US.EWT260918C105000,CALL,105.0,205,184625.0,6538,0.40522,870.0
2026-05-29,US.EWT,US.EWT260618C110000,CALL,110.0,191,39815.0,1918,0.4529,180.0
2026-05-29,US.EWT,US.EWT260618C100000,CALL,100.0,165,106354.0,2615,0.45864,595.0
2026-05-29,US.EWT,US.EWT260717C115000,CALL,115.0,100,41000.0,19,0.45631,282.5
2026-05-29,US.EWT,US.EWT260918C130000,CALL,130.0,100,25000.0,1051,0.42631,247.5
